id,video_title,thumbnail_text,comment_text,img,label,split
661,:)) Chủ shop bán đèn nlmt cho khách trong miền Nam mà bị lỗi khách muốn đổi và chủ shop đã gởi hàng ra nhưng sau đó khách nói không phải lỗi và đã mua thêm hàng để ủng hộ chủ shop.,đây là hình ảnh gốc:,tiếp xúc r người bắc thấy vậy chứ biết thương biết chiều lắm người nam thì hãy khó ở tý thôi 😁,vid_0035.jpg,Normal,train
1980,"CĂNG: Johnny Đặng ra clip 'ván bài lật ngửa' với Khoa Pug, tiết lộ cả 2 ngầm thoả thuận miệng việc PR tiền ảo  #tiinnews #johnnydang #khoapug","HOT: Johnny Đặng ra clip 'ván bài lật ngửa' với Khoa Pug, tiết lộ cả 2 ngầm thoả thuận miệng việc PR tiền ảo",đây là vụ drama ko có chửi thề 😂,vid_0004.jpg,Normal,train
13426,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Cái này là câu view câu like,vid_0053.jpg,Normal,train
3486,Hiệp hội xăng dầu chính thức lên tiếng bảo vệ người tiêu dùng. #xeford,Cẩm Xe Xăng và Dầu Ranger Sport Thế hệ Mới Bản lĩnh vượt giới hạn,Bảo vệ gì trời đi xe điện có lợi hơn chứ.,vid_0068.jpg,Normal,train
3754,Khoa Pug đầu tư 10 triệu Coin (DBZ) tăng 1$=230 tỷ VNĐ...#khoapug #shorts #hoccungtiktok #johnnydang #TikTokFashUP #Halloween2021 #NhacHayMoiNgay #lonely_musicc,PEDESTRIAN ZONE KEEP MOVING,khoa à đừng giống hoàng tử gió nhé dc cái vỏ thiếu nợ cả đóng,vid_0002.jpg,Normal,train
13104,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Trò hề thật sự. Tên của Thủ tướng cũng viết sai thì đúng trò hề thật sự .,vid_0053.jpg,Offensive,train
7376,"Nhiều người chỉ coi đó như một trò đùa, như một kiểu chơi chữ mà quên mất rằng nó có thể là khởi nguồn để chia rẽ dân tộc. Điều đó rất đau lòng! #vtv24 #vtvdigital #tiktoknews #pbvm #phanbietvungmien",Do miền bắc chúng m làm trước Namkiki - TRUNG - parky 100nguoi mn chac dc 1 nguoi còn 100thang parky het 100 thang pbvm Nhức nhối trào lưu phân biệt vùng miền trên mạng xã hội,cái này là bọn phản động có tình kích động gây chia rẽ chứ người các miền chân chính chả ai làm vậy cả,vid_0009.jpg,Hate Speech,train
9214,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,"bày đặt.mày mưa đc đất chưa,nổ to thế",vid_0016.jpg,Offensive,train
10052,Nhóm bạn quê thanh hóa “bắt tay” người Trung Quốc lập sào huyệt lừa đảo tại Campuchia #anninhmạng #foryou #CucAnninhmang #bocongan #A05 #fypシ #xhtiktok #j4f #cschdgovvn #xh #fyp #tiktok #trendingtiktok #cschd.gov.vn,NHÓM BẠN QUÊ THANH HÓA “BẮT TAY” NGƯỜI TRUNG QUỐC LẬP SÀO HUYỆT LỪA ĐẢO TẠI CAMPUCHIA,Tội này đi tầm 36 năm 18 tháng ạ?,vid_0037.jpg,Offensive,train
9572,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,về Việt Nam không được đâu huy ơi,vid_0016.jpg,Normal,train
2387,Giá Bất động sản Hà nội đang bị điên? Chính phủ sẽ làm gì để kích thích cho thị trường BĐS? #batdongsanhanoi #kinhtethitruong #dautubatdongsan #datdaugiahanoi #batdongsan #chungcu #noxh #nhaoxahoi,Giá Bds Hà Nội đang bị điên??,ôi mình thích cái câu đầu tiên quá 🤣😜,vid_0040.jpg,Normal,train
11553,Vì sao người Hà Nội tính khí thất thường #vietnam #khihau #hanoi #mienbac,OK. Here's the text from the image: There is no text in the image.,ý mùa nồm mình toàn hà hơi vào cửa kính rồi vẽ ❤️rất kute nhé!!!!! 💓,vid_0011.jpg,Normal,train
4639,"Mình uy tín, bản lĩnh mà về sớm hơn chớ sợ gì mà phải đúng giờ vợ dặn #xuhuong2025 #tinhyeu #fypシ゚","Chồng ra đường, mình bỏ thêm vào bóp chồng vài triệu Chồng đi nhậu, gặp anh em bạn bè mình vui vẻ lựa áo quần, nhắc anh thay đồ để đi Mình hẹn anh 11h về... Thì 10h, anh sẽ về",🥳🥳🥳 chân ái của chàng trai này là đây rồi.,vid_0030.jpg,Normal,train
