id,video_title,thumbnail_text,comment_text,img,video,label
661,:)) Chủ shop bán đèn nlmt cho khách trong miền Nam mà bị lỗi khách muốn đổi và chủ shop đã gởi hàng ra nhưng sau đó khách nói không phải lỗi và đã mua thêm hàng để ủng hộ chủ shop.,đây là hình ảnh gốc:,tiếp xúc r người bắc thấy vậy chứ biết thương biết chiều lắm người nam thì hãy khó ở tý thôi 😁,dataset/images/vid_0035.jpg,dataset/videos/vid_0035.mp4,Normal
13426,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Cái này là câu view câu like,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Normal
3486,Hiệp hội xăng dầu chính thức lên tiếng bảo vệ người tiêu dùng. #xeford,Cẩm Xe Xăng và Dầu Ranger Sport Thế hệ Mới Bản lĩnh vượt giới hạn,Bảo vệ gì trời đi xe điện có lợi hơn chứ.,dataset/images/vid_0068.jpg,dataset/videos/vid_0068.mp4,Normal
3754,Khoa Pug đầu tư 10 triệu Coin (DBZ) tăng 1$=230 tỷ VNĐ...#khoapug #shorts #hoccungtiktok #johnnydang #TikTokFashUP #Halloween2021 #NhacHayMoiNgay #lonely_musicc,PEDESTRIAN ZONE KEEP MOVING,khoa à đừng giống hoàng tử gió nhé dc cái vỏ thiếu nợ cả đóng,dataset/images/vid_0002.jpg,dataset/videos/vid_0002.mp4,Normal
13104,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Trò hề thật sự. Tên của Thủ tướng cũng viết sai thì đúng trò hề thật sự .,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
7376,"Nhiều người chỉ coi đó như một trò đùa, như một kiểu chơi chữ mà quên mất rằng nó có thể là khởi nguồn để chia rẽ dân tộc. Điều đó rất đau lòng! #vtv24 #vtvdigital #tiktoknews #pbvm #phanbietvungmien",Do miền bắc chúng m làm trước Namkiki - TRUNG - parky 100nguoi mn chac dc 1 nguoi còn 100thang parky het 100 thang pbvm Nhức nhối trào lưu phân biệt vùng miền trên mạng xã hội,cái này là bọn phản động có tình kích động gây chia rẽ chứ người các miền chân chính chả ai làm vậy cả,dataset/images/vid_0009.jpg,dataset/videos/vid_0009.mp4,Hate Speech
9214,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,"bày đặt.mày mưa đc đất chưa,nổ to thế",dataset/images/vid_0016.jpg,dataset/videos/vid_0016.mp4,Offensive
9572,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,về Việt Nam không được đâu huy ơi,dataset/images/vid_0016.jpg,dataset/videos/vid_0016.mp4,Normal
13190,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,VTV giờ còn là cái tên thôi. Chứ làm ăn như báo lá cải thôi,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
6971,Người phụ nữ đi ô tô xô đổ xe máy của shipper ở TPHCM #dantrinews #LearnOnTikTok #xuhuong,NGƯỜI PHỤ NỮ ĐI Ô TÔ XÔ ĐỔ XE MÁY CỦA SHIPPER Ở TPHCM,ăn mặc lịch lãm mà tánh tình không đẹp,dataset/images/vid_0090.jpg,dataset/videos/vid_0090.mp4,Offensive
5909,Người phụ nữ đi ô tô xô đổ xe máy của shipper ở TPHCM #dantrinews #LearnOnTikTok #xuhuong,NGƯỜI PHỤ NỮ ĐI Ô TÔ XÔ ĐỔ XE MÁY CỦA SHIPPER Ở TPHCM,Nhìn cái tướng mẻ đi là hiểu tư cách mẻ rồi,dataset/images/vid_0090.jpg,dataset/videos/vid_0090.mp4,Offensive
13725,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Hazziiii ông nói k nặng gì cả..? Nói nặng lên..nghe chưa đã,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
4318,"Lực lượng chức năng huyện Đan Phượng, TP Hà Nội đang tiến hành cưỡng chế phá dỡ các vi phạm nhà xưởng trên đất nông nghiệp. Trước đó chính quyền đã thực hiện các bước tuyên truyền, vận động người dân tự tháo dỡ, tuy nhiên người dân cho rằng, do chưa thể vận chuyển hết hàng hóa nên mong muốn có thêm thời gian để thực hiện việc tự phá dỡ. #quochoitv #tiktoknews #cuongche #cuongchedat #datnongnghiep #danphuong #viphamdatdai","TRUYỀN HÌNH QUỐC HỘI VIỆT NAM quochoitv.vn digitaltv@quochoi.vn 0862.656.565 CƯỠNG CHẾ VI PHẠM TRÊN ĐẤT NÔNG NGHIỆP TẠI HÀ NỘI: DÂN NÓI “TẾT ĐẾN NƠI RỒI, KHÔNG CHO LÀM LÀ VỠ NỢ”",biết vẫn lm..đòi đền bù,dataset/images/vid_0010.jpg,dataset/videos/vid_0010.mp4,Normal
2839,Giữa thủ đô mà lộng hành quá 😨 #xahoi #phapluat #batdongsan #chungcu #giangho #hanoi #plxhvn #phapluatxahoi,Giữa thử đồ mà lòng hành quá 😔😔😔 youtube.com/@plxhvnl,xã hội đen thì cũng nên có tí kiến thức,dataset/images/vid_0054.jpg,dataset/videos/vid_0054.mp4,Offensive
7893,"Nhiều người chỉ coi đó như một trò đùa, như một kiểu chơi chữ mà quên mất rằng nó có thể là khởi nguồn để chia rẽ dân tộc. Điều đó rất đau lòng! #vtv24 #vtvdigital #tiktoknews #pbvm #phanbietvungmien",Do miền bắc chúng m làm trước Namkiki - TRUNG - parky 100nguoi mn chac dc 1 nguoi còn 100thang parky het 100 thang pbvm Nhức nhối trào lưu phân biệt vùng miền trên mạng xã hội,hội ko phân biệt vùng miền đâu ạ 🤚,dataset/images/vid_0009.jpg,dataset/videos/vid_0009.mp4,Normal
12379,thấy gì sao câu chuyện của trà sữa Chagee và tụi yêu nước mõm #trasuachagee #hoangsatruongsalacuavietnam  #yeunuocmom #trasuachageeduongluoibo #yeunuocdochai,trà sữa chagee yêu nước mơm,Tại tụi nó mắc uống quá 😁😁😁,dataset/images/vid_0078.jpg,dataset/videos/vid_0078.mp4,Hate Speech
14962,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,dân số quãng trị hơn 1 tỷ nhà đài còn đăng đc mà..máy ông kiểm duyệt kiểu..bấm chạy rồi đi ngủ😂,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Normal
115,#stanleymeyer #jeffreybradstreet #drsebi #alfredobowman #eugenemallove,NHỮNG CÁI CH*T BÍ ẨN,"""Bước ba bước nó bắn thủng đầu bạn.""",dataset/images/vid_0064.jpg,dataset/videos/vid_0064.mp4,Hate Speech
8489,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,không biết thằng này đã đc về VN để đào mả cha nó đem wa đó chưa ae,dataset/images/vid_0016.jpg,dataset/videos/vid_0016.mp4,Offensive
12785,Ở Phnom benh vẫn An Toàn lắm cả nhà Chỉ ưa giựt điện thoại thôi à 😁 Mà nghe nói ở Bavet or Sihanoukville : 1 mạn/g = 10k usd là giải quyết êm ru#thinhdaden #campuchia #nhauxuyenviet #xh,Reply to susu saigon's comment bên đó có mấy vụ bắt cóc thiệt không anh Bắt Có/c ở Cam,Khách lẽ đi ban đêm lùa bắt hết,dataset/images/vid_0055.jpg,dataset/videos/vid_0055.mp4,Offensive
8594,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,nhìn cái mặt như này thì đâu có sướng !!!,dataset/images/vid_0016.jpg,dataset/videos/vid_0016.mp4,Offensive
4924,Mọi người cùng lên tiếng thôiiii | Sân bay Việt nam tệ thế nào?!? #LuciaTrinh #fyp,Âm ảnh mang tên Sân bay Việt Nam,trong đó dịch vụ là kiểu bố thí mà 😆😆,dataset/images/vid_0059.jpg,dataset/videos/vid_0059.mp4,Hate Speech
15582,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,May có smartphone và mạng xã hội phát triển nên VTV chỉ là thứ yếu để giới trẻ tiếp cận thông tin chứ không thì không biết dân ta sẽ bị ngu muội như thế nào nữa,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
3255,Hiệp hội xăng dầu chính thức lên tiếng bảo vệ người tiêu dùng. #xeford,Cẩm Xe Xăng và Dầu Ranger Sport Thế hệ Mới Bản lĩnh vượt giới hạn,cứu tỉnh của người nghèo tới rồi,dataset/images/vid_0068.jpg,dataset/videos/vid_0068.mp4,Normal
6885,Người phụ nữ đi ô tô xô đổ xe máy của shipper ở TPHCM #dantrinews #LearnOnTikTok #xuhuong,NGƯỜI PHỤ NỮ ĐI Ô TÔ XÔ ĐỔ XE MÁY CỦA SHIPPER Ở TPHCM,Hành động này là Phá hoại tài sản rồi,dataset/images/vid_0090.jpg,dataset/videos/vid_0090.mp4,Normal
8684,Nhà ở chưa mua mà A Guy đã tính mua đất nghĩa trang rồi. Trương Quốc Huy ở mĩ chưa có nhà mà nổ đã tính mua đất nghĩa trang #truongquochuy #n10tv #n10tvhighlight #n10tvshorts #bolsa #vietkieumy #vietnamtoiyeu #xh #xhtiktok #xuhuongtiktok #lenxuhuong #fantltv #TLTV #phandong,N1,"mua được chưa a , e thấy a bị đũi khỏi nhà mà nổ",dataset/images/vid_0016.jpg,dataset/videos/vid_0016.mp4,Offensive
15308,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Vtc làm nội dung chưa bh bằng vtc. Chẳng qua là của nhà nc thôi chứ ko nát như chó rồi,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
3999,Không hiểu đi đứng kiểu gì! #suckhoedoisong #tintuc #thinhhanh #giaitritiktok #trending,NINJA LEAD BẺ LÁI THẦN SẦU... KHÔNG THÈM NHÌN AI! VÀ CÁI KẾT HÚ VÍA,Nhìn kĩ thì thấy không phải chạy ẩu đâu bả cũng từ từ xéo xéo qua chứ chạy ẩu là không may như v đâu,dataset/images/vid_0051.jpg,dataset/videos/vid_0051.mp4,Normal
6633,Người phụ nữ đi ô tô xô đổ xe máy của shipper ở TPHCM #dantrinews #LearnOnTikTok #xuhuong,NGƯỜI PHỤ NỮ ĐI Ô TÔ XÔ ĐỔ XE MÁY CỦA SHIPPER Ở TPHCM,phạt gì nhẹ vậy trời 😏,dataset/images/vid_0090.jpg,dataset/videos/vid_0090.mp4,Normal
7450,"Nhiều người chỉ coi đó như một trò đùa, như một kiểu chơi chữ mà quên mất rằng nó có thể là khởi nguồn để chia rẽ dân tộc. Điều đó rất đau lòng! #vtv24 #vtvdigital #tiktoknews #pbvm #phanbietvungmien",Do miền bắc chúng m làm trước Namkiki - TRUNG - parky 100nguoi mn chac dc 1 nguoi còn 100thang parky het 100 thang pbvm Nhức nhối trào lưu phân biệt vùng miền trên mạng xã hội,Giờ nhà nước ban hành luật đc đấm bọn phân biệt vùng miền thì quá đã pepsi ơi…😋,dataset/images/vid_0009.jpg,dataset/videos/vid_0009.mp4,Normal
11248,Tuấn Hưng và vợ đi sự kiện Mắt anh ấy nhìn như mới chơi đá #hot #vietnam #showbiz,Thời phong độ ông này nhìn chất 👍 Tuấn Hưng và vợ đi sự kiện Dân trong nghề nhìn phát biết luôn,Tóc tai gì bù xù vậy trời 😌🤔🤔,dataset/images/vid_0062.jpg,dataset/videos/vid_0062.mp4,Offensive
10339,Sát hạch lái xe nước bạn có bác nào dám thử không? #hoclaixe #hoclaixeoto #trungtamsathach #sathachlaixe,THI SÁT HẠCH LÁI XE TẠI NƯỚC BẢN,cái lùi là rớt lơp đợp luôn,dataset/images/vid_0066.jpg,dataset/videos/vid_0066.mp4,Offensive
15054,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,Thế hệ cợt nhả làm vtv 😩,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
16235,Lý do Mấy bay mạnh nhất Nước Mỹ không có đối thủ #cuongnuocmy #maybay #f22 #f22raptor #cuocsongmy #quansu #vietkieu #vietnamese,Không có thumbnail text,Qua Việt Nam mấy cô đồng nát đang chờ,dataset/images/vid_0028.jpg,dataset/videos/vid_0028.mp4,Offensive
336,#vinhomes #vinhomegrandpark #vinperaldiscovery,Có 27 tỷ mua nhà mà giờ ngồi khóc thấy thương không,Chơi vơi vện thì chả thế .,dataset/images/vid_0048.jpg,dataset/videos/vid_0048.mp4,Hate Speech
3678,Khoa Pug Johnny lùa gà chơi DBZ. #taichinh #dautu #crypto #khoapug #johnnydang,DBZ Coin Diamond Boyz Coin to USD Chart Price Market Cap TradingView History 1D 7D 1M 3M 1Y YTD ALL LOG 0.14 0.12 0.10 0.080 0.045 0.040 0.020 USD Oct 13 Nov 13 USD Oct 14 Nov 14 BTC,"thế lúc vừa lên x2 x3 x4 gì đó tụi m ko bán ? biết là sẽ có lên có xuống , nhắm tình hình mà theo",dataset/images/vid_0003.jpg,dataset/videos/vid_0003.mp4,Offensive
13124,Góp ý thẳng thắn với VTV !!! #hiephoangngo #tiktoknew #trending,Sự cố kiểm duyệt của VTV Khi liên tục mắc các lỗi sơ đẳng!!!,con lê bống còn vào được thì chịu,dataset/images/vid_0053.jpg,dataset/videos/vid_0053.mp4,Offensive
